"시도","시군구","피해유형","피해시작일","피해종료일"
"충청북도","충주시","운반급수",18/02/14,18/02/14
"충청북도","충주시","운반급수",18/02/15,18/02/15
"강원도","횡성군","운반급수",18/02/15,18/02/15
"충청북도","충주시","운반급수",18/02/17,18/02/17
"충청북도","충주시","운반급수",18/02/17,18/02/22
"충청남도","천안시동남구","운반급수",18/02/19,18/02/20
"충청북도","충주시","운반급수",18/02/19,18/02/19
"경상북도","안동시","운반급수",18/02/28,18/03/05
"경기도","가평군","운반급수",18/03/01,18/03/31
"전라남도","완도군","제한급수",18/03/05,18/03/11
"전라남도","완도군","제한급수",18/03/05,18/03/22
"강원도","태백시","운반급수",18/03/09,18/03/09
"강원도","태백시","운반급수",18/03/12,18/05/13
"충청북도","충주시","운반급수",18/03/21,18/08/22
"충청북도","충주시","운반급수",18/03/22,18/03/22
"강원도","태백시","운반급수",18/03/23,18/04/03
"강원도","태백시","운반급수",18/04/03,18/04/03
"강원도","태백시","운반급수",18/04/11,18/05/04
"경기도","용인시처인구","운반급수",18/04/12,18/04/12
"전라북도","완주군","운반급수",18/05/11,19/08/09
"경기도","가평군","운반급수",18/06/01,18/06/30
"경기도","가평군","운반급수",18/06/01,18/08/31
"충청북도","충주시","운반급수",18/06/03,18/06/03
"충청북도","충주시","운반급수",18/06/21,18/06/21
"경상북도","의성군","운반급수",18/06/30,18/06/30
"경기도","가평군","운반급수",18/07/01,18/07/31
"충청북도","충주시","운반급수",18/07/01,18/07/01
"경상북도","의성군","운반급수",18/07/02,18/07/02
"경상북도","의성군","운반급수",18/07/05,18/07/05
"충청북도","충주시","운반급수",18/07/22,18/07/22
"충청남도","천안시동남구","운반급수",18/07/23,18/08/30
"경상북도","의성군","운반급수",18/07/25,18/07/25
"경상북도","안동시","운반급수",18/07/31,18/07/31
"충청북도","충주시","운반급수",18/07/31,18/07/31
"경기도","가평군","운반급수",18/08/01,18/08/31
"경기도","가평군","운반급수",18/08/01,18/12/31
"전라북도","완주군","운반급수",18/08/01,18/08/21
"경상북도","안동시","운반급수",18/08/02,18/08/02
"충청북도","충주시","운반급수",18/08/02,18/08/02
"강원도","횡성군","운반급수",18/08/02,18/08/03
"강원도","횡성군","운반급수",18/08/02,18/08/06
"충청북도","괴산군","운반급수",18/08/03,18/08/03
"충청북도","괴산군","운반급수",18/08/03,18/08/07
"전라북도","완주군","운반급수",18/08/03,18/08/21
"강원도","횡성군","운반급수",18/08/03,18/08/09
"강원도","횡성군","운반급수",18/08/03,18/08/21
"경상북도","의성군","운반급수",18/08/05,18/08/08
"충청북도","충주시","운반급수",18/08/05,18/08/05
"경기도","광주시","운반급수",18/08/06,18/12/31
"경기도","용인시처인구","운반급수",18/08/06,18/08/06
"충청남도","천안시동남구","운반급수",18/08/06,18/08/11
"충청북도","충주시","운반급수",18/08/06,18/08/06
"경상북도","봉화군","운반급수",18/08/07,18/08/09
"충청북도","충주시","운반급수",18/08/07,18/08/27
"경상북도","봉화군","운반급수",18/08/08,18/08/09
"전라북도","완주군","운반급수",18/08/08,18/08/08
"충청북도","괴산군","운반급수",18/08/09,18/08/10
"경상북도","봉화군","운반급수",18/08/09,18/08/09
"경상북도","의성군","운반급수",18/08/10,18/08/20
"충청남도","천안시동남구","운반급수",18/08/11,18/09/20
"충청북도","옥천군","운반급수",18/08/12,18/11/30
"전라북도","완주군","운반급수",18/08/12,18/08/12
"경기도","용인시처인구","운반급수",18/08/13,18/08/13
"경상북도","상주시","운반급수",18/08/14,18/08/14
"경기도","용인시수지구","운반급수",18/08/14,18/08/14
"충청남도","천안시동남구","운반급수",18/08/15,18/08/15
"전라북도","완주군","운반급수",18/08/17,18/08/28
"충청북도","충주시","운반급수",18/08/18,18/08/27
"충청북도","충주시","운반급수",18/08/20,18/08/20
"경기도","광주시","운반급수",18/08/22,18/08/22
"경상북도","의성군","운반급수",18/08/22,18/08/22
"충청북도","충주시","운반급수",18/08/22,18/08/22
"충청북도","충주시","운반급수",18/08/25,18/08/27
"경기도","가평군","운반급수",18/09/01,18/09/30
"경상북도","안동시","운반급수",18/09/23,18/09/23
"전라북도","완주군","운반급수",18/09/28,18/09/28
"경기도","가평군","운반급수",18/10/01,18/11/30
"충청북도","충주시","운반급수",18/11/07,18/11/07
"경상북도","안동시","운반급수",18/11/11,18/11/11
"충청남도","천안시동남구","운반급수",18/11/12,18/11/12
"충청남도","천안시서북구","운반급수",18/11/18,18/11/19
"충청남도","천안시동남구","운반급수",18/11/23,18/11/23
"충청북도","충주시","운반급수",19/01/02,19/02/23
"전라남도","진도군","운반급수",19/01/05,19/01/23
"충청남도","서천군","운반급수",19/01/08,19/01/10
"충청남도","천안시동남구","운반급수",19/01/09,19/01/16
"강원도","횡성군","운반급수",19/01/10,19/03/04
"전라남도","여수시","제한운반",19/01/16,19/05/02
"강원도","평창군","운반급수",19/01/16,19/01/17
"강원도","태백시","운반급수",19/01/18,19/03/15
"전라북도","완주군","운반급수",19/01/20,19/01/20
"전라북도","완주군","운반급수",19/01/20,19/01/28
"경기도","광주시","운반급수",19/01/23,19/01/25
"충청북도","충주시","운반급수",19/01/28,19/03/26
"경기도","가평군","운반급수",19/01/29,19/03/26
"충청북도","제천시","운반급수",19/01/31,19/01/31
"경기도","가평군","운반급수",19/02/01,19/03/13
"전라북도","완주군","운반급수",19/02/01,19/02/01
"충청북도","제천시","운반급수",19/02/01,19/02/01
"충청남도","천안시서북구","운반급수",19/02/01,19/02/28
"충청남도","서천군","운반급수",19/02/02,19/02/02
"충청남도","서천군","운반급수",19/02/02,19/02/03
"경기도","가평군","운반급수",19/02/04,19/02/07
"전라북도","완주군","운반급수",19/02/04,19/02/04
"충청남도","부여군","운반급수",19/02/05,19/02/05
"충청북도","제천시","운반급수",19/02/07,19/02/07
"충청북도","제천시","운반급수",19/02/07,19/09/04
"강원도","태백시","운반급수",19/02/11,19/03/05
"충청남도","천안시서북구","운반급수",19/02/13,19/04/10
"충청북도","충주시","운반급수",19/02/18,19/02/23
"전라북도","군산시","운반급수",19/02/25,19/02/25
"인천광역시","옹진군","제한운반",19/02/25,19/07/09
"경기도","가평군","운반급수",19/02/27,19/11/11
"충청남도","서천군","운반급수",19/03/02,19/03/02
"강원도","태백시","운반급수",19/03/05,19/03/05
"충청남도","천안시동남구","운반급수",19/03/06,19/03/06
"충청북도","충주시","운반급수",19/03/07,19/03/07
"경기도","가평군","운반급수",19/03/18,19/07/09
"충청북도","충주시","운반급수",19/03/23,19/03/23
"전라북도","무주군","운반급수",19/03/27,19/03/27
"충청북도","제천시","운반급수",19/03/27,19/03/27
"전라북도","전주시완산구","운반급수",19/03/28,19/03/28
"경기도","가평군","운반급수",19/03/31,19/04/01
"전라북도","완주군","운반급수",19/04/01,19/04/01
"전라북도","전주시완산구","운반급수",19/04/01,19/04/01
"충청남도","천안시서북구","운반급수",19/04/01,19/04/24
"충청북도","충주시","운반급수",19/04/01,19/04/01
"전라북도","전주시완산구","운반급수",19/04/02,19/04/02
"충청남도","천안시서북구","운반급수",19/04/02,19/04/02
"경상북도","의성군","운반급수",19/04/03,19/04/03
"충청북도","충주시","운반급수",19/04/04,19/04/04
"전라북도","완주군","운반급수",19/04/09,19/04/09
"전라북도","완주군","운반급수",19/04/09,19/04/10
"전라북도","완주군","운반급수",19/04/09,19/04/11
"전라북도","완주군","운반급수",19/04/10,19/04/10
"강원도","인제군","운반급수",19/04/10,19/04/10
"경기도","가평군","운반급수",19/04/12,19/04/12
"전라북도","무주군","운반급수",19/04/12,19/04/12
"경상북도","의성군","운반급수",19/04/18,19/04/18
"경기도","가평군","운반급수",19/04/20,19/04/27
"전라북도","완주군","운반급수",19/04/22,19/04/22
"강원도","평창군","운반급수",19/04/22,19/04/23
"전라남도","여수시","제한운반",19/05/01,19/05/19
"인천광역시","중구","운반급수",19/05/01,19/12/31
"강원도","횡성군","운반급수",19/05/03,19/05/03
"강원도","횡성군","운반급수",19/05/10,19/07/01
"충청북도","충주시","운반급수",19/05/13,19/05/13
"경기도","가평군","운반급수",19/05/14,19/10/25
"전라북도","전주시완산구","운반급수",19/05/16,19/05/16
"경기도","가평군","운반급수",19/05/17,19/07/25
"충청북도","충주시","운반급수",19/05/17,19/05/17
"전라북도","전주시완산구","운반급수",19/05/21,19/05/21
"경기도","광주시","운반급수",19/05/22,19/07/25
"충청남도","천안시동남구","운반급수",19/05/22,19/05/27
"경기도","광주시","운반급수",19/05/23,19/05/24
"경기도","오산시","운반급수",19/05/24,19/05/24
"전라북도","전주시완산구","운반급수",19/05/24,19/05/24
"충청북도","충주시","운반급수",19/05/25,19/05/25
"경기도","가평군","운반급수",19/05/26,19/07/06
"경상북도","의성군","운반급수",19/05/29,19/05/29
"충청남도","천안시동남구","운반급수",19/06/01,19/06/10
"충청남도","천안시서북구","운반급수",19/06/01,19/06/30
"강원도","화천군","운반급수",19/06/01,19/06/02
"강원도","화천군","운반급수",19/06/03,19/06/07
"경기도","가평군","운반급수",19/06/04,19/06/27
"강원도","인제군","운반급수",19/06/04,19/06/04
"강원도","인제군","운반급수",19/06/04,19/06/06
"충청북도","충주시","운반급수",19/06/04,19/06/04
"충청북도","제천시","운반급수",19/06/13,19/07/09
"강원도","횡성군","운반급수",19/06/14,19/06/14
"경상북도","의성군","운반급수",19/06/16,19/06/16
"충청북도","제천시","운반급수",19/06/18,19/06/18
"충청북도","충주시","운반급수",19/06/20,19/07/20
"충청북도","제천시","운반급수",19/06/21,19/10/01
"경기도","포천시","운반급수",19/06/25,20/01/15
"충청남도","천안시서북구","운반급수",19/06/26,19/06/30
"충청남도","천안시동남구","운반급수",19/06/28,19/06/30
"충청북도","충주시","운반급수",19/06/28,19/07/03
"충청북도","충주시","운반급수",19/06/28,19/08/16
"경기도","가평군","운반급수",19/07/01,19/11/11
"인천광역시","중구","운반급수",19/07/01,19/08/31
"충청남도","천안시동남구","운반급수",19/07/01,19/07/02
"충청남도","천안시동남구","운반급수",19/07/01,19/07/13
"충청남도","천안시동남구","운반급수",19/07/01,19/07/31
"충청남도","천안시서북구","운반급수",19/07/01,19/07/31
"충청북도","충주시","운반급수",19/07/01,19/07/04
"강원도","춘천시","운반급수",19/07/02,19/07/02
"강원도","춘천시","운반급수",19/07/02,19/07/10
"강원도","화천군","운반급수",19/07/02,19/07/12
"강원도","화천군","운반급수",19/07/02,19/07/15
"경기도","광주시","운반급수",19/07/03,19/07/03
"강원도","인제군","운반급수",19/07/03,19/07/10
"충청북도","제천시","운반급수",19/07/03,19/07/03
"충청북도","제천시","운반급수",19/07/03,19/07/09
"강원도","춘천시","운반급수",19/07/03,19/07/05
"강원도","춘천시","운반급수",19/07/03,19/07/10
"강원도","춘천시","운반급수",19/07/03,20/04/09
"강원도","화천군","운반급수",19/07/03,19/07/10
"강원도","횡성군","운반급수",19/07/03,19/07/08
"경기도","가평군","운반급수",19/07/04,19/07/06
"경기도","가평군","운반급수",19/07/04,19/07/19
"충청남도","천안시서북구","운반급수",19/07/04,19/07/31
"강원도","화천군","운반급수",19/07/05,19/07/08
"강원도","화천군","운반급수",19/07/05,19/07/15
"경기도","광주시","운반급수",19/07/06,19/07/18
"충청북도","제천시","운반급수",19/07/06,19/07/12
"강원도","춘천시","운반급수",19/07/06,19/07/06
"충청북도","충주시","운반급수",19/07/06,19/07/06
"강원도","화천군","운반급수",19/07/06,19/07/07
"강원도","화천군","운반급수",19/07/06,19/07/12
"강원도","화천군","운반급수",19/07/06,19/07/14
"강원도","횡성군","운반급수",19/07/06,19/07/07
"강원도","횡성군","운반급수",19/07/06,19/07/09
"경기도","가평군","운반급수",19/07/07,19/07/08
"경기도","광주시","운반급수",19/07/08,19/07/08
"경기도","광주시","운반급수",19/07/08,19/07/12
"강원도","원주시","운반급수",19/07/08,19/07/08
"충청남도","천안시동남구","운반급수",19/07/08,19/07/14
"강원도","춘천시","운반급수",19/07/08,19/07/18
"충청북도","충주시","운반급수",19/07/08,19/07/08
"인천광역시","강화군","운반급수",19/07/09,19/07/09
"강원도","화천군","운반급수",19/07/09,19/07/09
"강원도","원주시","운반급수",19/07/10,19/07/10
"강원도","춘천시","운반급수",19/07/10,19/07/10
"인천광역시","강화군","운반급수",19/07/15,19/07/15
"강원도","화천군","운반급수",19/07/16,20/07/16
"강원도","춘천시","운반급수",19/07/18,19/07/19
"인천광역시","옹진군","운반급수",19/07/22,19/07/25
"강원도","원주시","운반급수",19/07/23,19/07/23
"강원도","원주시","운반급수",19/07/29,19/07/29
"강원도","원주시","운반급수",19/07/30,19/07/30
"충청북도","충주시","운반급수",19/07/31,19/08/01
"충청남도","천안시동남구","운반급수",19/08/01,19/08/30
"충청남도","천안시서북구","운반급수",19/08/01,19/08/30
"전라남도","화순군","운반급수",19/08/02,19/08/02
"경상북도","의성군","운반급수",19/08/03,19/08/03
"충청남도","천안시서북구","운반급수",19/08/05,19/08/05
"충청북도","충주시","운반급수",19/08/05,19/08/06
"경상북도","의성군","운반급수",19/08/06,19/08/06
"강원도","평창군","운반급수",19/08/06,19/08/16
"경상북도","의성군","운반급수",19/08/07,19/08/07
"경상남도","밀양시","운반급수",19/08/09,19/08/09
"전라남도","보성군","운반급수",19/08/09,19/08/09
"강원도","원주시","운반급수",19/08/12,19/08/12
"전라남도","여수시","운반급수",19/08/14,19/08/21
"충청남도","부여군","운반급수",19/08/16,19/08/17
"강원도","원주시","운반급수",19/08/28,19/08/28
"충청남도","천안시동남구","운반급수",19/09/02,19/09/30
"강원도","원주시","운반급수",19/09/03,19/09/03
"전라북도","남원시","운반급수",19/09/05,19/09/05
"강원도","원주시","운반급수",19/09/09,19/09/09
"충청남도","부여군","운반급수",19/09/12,19/09/12
"경상남도","함양군","운반급수",19/09/12,19/09/12
"경기도","가평군","운반급수",19/09/13,19/10/22
"충청남도","천안시서북구","운반급수",19/10/10,19/10/11
"인천광역시","옹진군","운반급수",19/10/18,19/10/18
"강원도","원주시","운반급수",19/10/25,19/10/25
"경상남도","함양군","운반급수",19/10/30,19/10/30
"경기도","광주시","운반급수",19/11/04,19/12/17
"강원도","춘천시","운반급수",19/11/07,19/12/12
"충청북도","제천시","운반급수",19/11/08,19/11/08
"충청북도","제천시","운반급수",19/11/14,19/11/14
"강원도","원주시","운반급수",19/11/18,19/11/18
"경상북도","문경시","운반급수",19/11/20,19/11/20
"전라북도","남원시","운반급수",19/12/09,19/12/09
"강원도","원주시","운반급수",19/12/12,19/12/12
"강원도","춘천시","운반급수",19/12/20,19/12/21
"강원도","춘천시","운반급수",20/01/03,20/04/27
"강원도","홍천군","운반급수",20/01/13,20/01/13
"강원도","화천군","운반급수",20/01/14,20/01/14
"전라남도","여수시","제한운반",20/01/15,20/02/25
"전라남도","진도군","운반급수",20/01/20,20/01/20
"경기도","광주시","운반급수",20/02/03,20/02/12
"충청북도","충주시","운반급수",20/02/10,20/07/31
"충청북도","충주시","운반급수",20/02/11,20/04/24
"강원도","인제군","운반급수",20/02/13,20/02/13
"강원도","원주시","운반급수",20/02/24,20/02/24
"강원도","원주시","운반급수",20/02/27,20/02/27
"전라남도","화순군","운반급수",20/03/06,20/10/30
"강원도","춘천시","운반급수",20/03/11,20/03/16
"충청남도","부여군","운반급수",20/03/13,20/03/13
"충청북도","충주시","운반급수",20/03/19,20/03/20
"강원도","춘천시","운반급수",20/03/20,20/04/09
"강원도","원주시","운반급수",20/03/23,20/03/23
"충청북도","충주시","운반급수",20/03/26,20/04/17
"전라남도","여수시","운반급수",20/03/30,20/07/21
"강원도","홍천군","운반급수",20/03/31,20/12/18
"충청북도","충주시","운반급수",20/04/14,20/08/07
"전라남도","여수시","운반급수",20/04/22,20/04/22
"강원도","횡성군","제한운반",20/04/27,20/07/22
"충청북도","충주시","운반급수",20/04/28,20/04/28
"충청남도","부여군","운반급수",20/05/06,20/05/06
"강원도","화천군","운반급수",20/05/07,20/05/08
"강원도","춘천시","운반급수",20/05/13,20/06/16
"전라남도","목포시","운반급수",20/05/22,20/12/14
"강원도","원주시","운반급수",20/06/01,20/06/01
"경기도","광주시","운반급수",20/06/04,20/06/04
"경상북도","의성군","운반급수",20/06/06,20/06/06
"강원도","원주시","운반급수",20/06/10,20/06/11
"강원도","원주시","운반급수",20/06/10,20/06/16
"강원도","원주시","운반급수",20/06/11,20/06/11
"강원도","춘천시","운반급수",20/06/17,20/06/17
"강원도","화천군","운반급수",20/06/20,20/06/20
"강원도","화천군","운반급수",20/06/20,20/06/21
"강원도","춘천시","운반급수",20/06/22,20/06/22
"강원도","홍천군","운반급수",20/06/23,20/06/23
"강원도","원주시","운반급수",20/06/26,20/06/26
"강원도","원주시","운반급수",20/07/08,20/07/08
"경상북도","의성군","운반급수",20/07/13,20/07/13
"강원도","화천군","운반급수",20/07/14,20/07/14
"강원도","춘천시","운반급수",20/07/17,20/07/17
"충청북도","충주시","운반급수",20/08/01,20/08/02
"강원도","원주시","운반급수",20/08/04,20/08/04
"강원도","원주시","운반급수",20/08/06,20/08/06
"강원도","춘천시","운반급수",20/08/07,20/08/07
"강원도","원주시","운반급수",20/08/14,20/08/25
"강원도","원주시","운반급수",20/08/18,20/08/18
"강원도","화천군","운반급수",20/08/20,20/08/20
"강원도","원주시","운반급수",20/08/25,20/08/25
"강원도","원주시","운반급수",20/09/03,20/09/03
"강원도","원주시","운반급수",20/09/10,20/09/10
"강원도","태백시","운반급수",20/09/12,20/09/12
"강원도","태백시","운반급수",20/09/12,20/09/28
"강원도","원주시","운반급수",20/09/22,20/09/22
"강원도","원주시","운반급수",20/09/28,20/09/28
"강원도","원주시","운반급수",20/09/28,21/01/12
"강원도","원주시","운반급수",20/09/29,20/09/29
"경상북도","의성군","운반급수",20/10/04,20/10/04
"강원도","춘천시","운반급수",20/10/06,20/10/12
"강원도","춘천시","운반급수",20/10/19,20/11/01
"강원도","정선군","운반급수",20/10/27,20/10/27
"강원도","춘천시","운반급수",20/10/27,20/11/14
"경기도","광주시","운반급수",20/10/28,20/12/31
"경상남도","양산시","제한운반",20/11/04,20/11/05
"강원도","화천군","운반급수",20/11/04,20/11/04
"강원도","화천군","운반급수",20/11/04,20/11/30
"전라남도","신안군","운반급수",20/11/09,20/11/09
"강원도","정선군","운반급수",20/11/11,21/01/26
"강원도","정선군","운반급수",20/11/11,21/03/10
"강원도","춘천시","운반급수",20/11/11,20/11/13
"강원도","정선군","운반급수",20/11/15,20/11/16
"강원도","정선군","운반급수",20/11/15,21/01/10
"강원도","삼척시","운반급수",20/11/17,20/11/17
"경상남도","거제시","운반급수",20/11/18,21/12/03
"강원도","춘천시","운반급수",20/11/25,20/11/25
"강원도","원주시","운반급수",20/11/26,20/12/17
"강원도","정선군","운반급수",20/11/30,21/03/01
"강원도","정선군","운반급수",20/12/01,21/02/28
"강원도","정선군","운반급수",20/12/02,20/12/04
"강원도","정선군","운반급수",20/12/02,21/03/02
"강원도","정선군","운반급수",20/12/03,21/03/04
"강원도","원주시","운반급수",20/12/04,20/12/04
"강원도","원주시","운반급수",20/12/17,20/12/17
"강원도","정선군","운반급수",20/12/18,21/01/27
"강원도","원주시","운반급수",20/12/24,20/12/24
"강원도","정선군","운반급수",20/12/24,21/03/20
"강원도","정선군","운반급수",20/12/25,21/02/27
"강원도","태백시","운반급수",20/12/25,20/12/27
"강원도","정선군","운반급수",20/12/27,21/02/28
"강원도","정선군","운반급수",20/12/30,21/02/25
"강원도","춘천시","운반급수",20/12/30,21/03/10
"강원도","춘천시","운반급수",20/12/31,21/01/29
