"조사년도","관측소명","평균 수위"
2020,"경산",66.5
2020,"고양",31.9
2020,"광명",6.3
2020,"논산",35.5
2020,"당진",13.8
2020,"대전",44.6
2020,"동해",6.8
2020,"보은",129.5
2020,"상주",113.5
2020,"성주",44.7
2020,"양구",280.1
2020,"양산",110.1
2020,"영양",247.8
2020,"옥천",113.1
2020,"완도",46.9
2020,"의령",52.6
2020,"진도",4.4
2020,"창녕",72.8
2020,"철원",222.3
2020,"하동",8.8
2020,"함평",25.4
2020,"횡성",278.2
2020,"광주",44.9
2020,"구례",71.4
2020,"군산",8
2020,"무안",5.9
2020,"순천",92.9
2020,"여수",37.7
2020,"연천",41.8
2020,"영천",108.5
2020,"제천",240.1
2020,"청송",212.1
2020,"해남",10.2
2020,"화성",30.1
2020,"거제",109.7
2020,"곡성",68
2020,"동두",55.7
2020,"밀양",44
2020,"보령",60
2020,"부산",50.2
2020,"부안",6.3
2020,"아산",14.3
2020,"안양",43.4
2020,"울산",57.7
2020,"음성",107.7
2020,"인천",22.3
2020,"전주",45.3
2020,"진천",19.2
2020,"태백",668.2
2020,"통영",0.1
2020,"함양",301.2
2020,"합천",89.6
2020,"홍천",203.7
2020,"화천",193.9
2020,"거창",250.4
2020,"고령",21.1
2020,"고성",22.1
2020,"금산",162.8
2020,"김제",7.5
2020,"김천",192.7
2020,"단양",317.2
2020,"목포",18
2020,"서천",17.8
2020,"세종",20
2020,"수원",22.9
2020,"시흥",5.7
2020,"영암",12.7
2020,"영주",186.2
2020,"울진",54.2
2020,"의왕",56.2
2020,"의정",33.6
2020,"인제",288.1
2020,"장수",341.2
2020,"창원",11.5
2020,"청양",68
2020,"파주",26.3
2020,"함안",25.7
2020,"홍성",42.7
2020,"광양",21.9
2020,"군위",123
2020,"김포",11.9
2020,"남해",107.7
2020,"무주",434.2
2020,"삼척",135
2020,"양평",100.6
2020,"여주",68.1
2020,"영덕",27
2020,"영동",171.4
2020,"예산",18.3
2020,"오산",48.9
2020,"완주",42.5
2020,"이천",46.2
2020,"익산",10.7
2020,"장흥",20.3
2020,"정선",368.4
2020,"진안",241.5
2020,"청도",114.6
2020,"청주",83
2020,"충주",82.3
2020,"평창",482
2020,"가평",91.5
2020,"강릉",224.9
2020,"강진",33.7
2020,"고창",20
2020,"괴산",134.7
2020,"구미",43
2020,"대구",98.1
2020,"보성",61.7
2020,"사천",24.3
2020,"양양",0.4
2020,"원주",149.5
2020,"임실",149.8
2020,"증평",93.1
2020,"진주",29.2
2020,"칠곡",68.1
2020,"평택",23.8
2020,"하남",75.1
2020,"화순",114.6
2020,"고흥",20.8
2020,"과천",24.6
2020,"김해",3.4
2020,"담양",54.4
2020,"문경",161.6
2020,"봉화",247
2020,"산청",168.6
2020,"서울",9.1
2020,"성남",54.5
2020,"속초",11.4
2020,"양주",89.8
2020,"영광",23
2020,"용인",47.8
2020,"춘천",135.8
2020,"포천",126.3
2020,"경주",109.7
2020,"계룡",135.3
2020,"공주",35.5
2020,"나주",8.6
2020,"남양",59.2
2020,"남원",166.9
2020,"부여",14.5
2020,"서산",16.6
2020,"순창",117.4
2020,"안동",157
2020,"안산",44.9
2020,"안성",107.8
2020,"영월",265.1
2020,"예천",74.8
2020,"의성",77.6
2020,"장성",91.6
2020,"정읍",23.4
2020,"제주",77.7
2020,"천안",58.7
2020,"태안",17.1
2020,"포항",48.6
2021,"괴산",131.1
2021,"김해",15.3
2021,"나주",11.2
2021,"단양",312.2
2021,"서울",8.9
2021,"안산",44.6
2021,"안양",43
2021,"인천",21.7
2021,"장성",73
2021,"장수",384.1
2021,"정읍",23
2021,"제주",65.7
2021,"제천",213.9
2021,"증평",90.2
2021,"천안",57.5
2021,"청주",81.5
2021,"태안",17
2021,"평창",476.2
2021,"하남",73.7
2021,"함평",25
2021,"횡성",323.4
2021,"거창",252.1
2021,"금산",161.9
2021,"남원",142.5
2021,"남해",105.8
2021,"당진",13.5
2021,"보성",36.8
2021,"사천",40.5
2021,"속초",30.6
2021,"아산",14
2021,"양구",269.9
2021,"연천",41.1
2021,"영월",256.2
2021,"용인",64.6
2021,"의성",76.6
2021,"의왕",55.3
2021,"전주",44.8
2021,"진안",243.3
2021,"청양",67.2
2021,"평택",23.6
2021,"해남",8.5
2021,"화순",113
2021,"거제",107
2021,"계룡",133.8
2021,"고양",31.4
2021,"광주",41.9
2021,"군위",121.3
2021,"김천",189.9
2021,"논산",34.7
2021,"담양",53.8
2021,"대구",93.4
2021,"보령",41.1
2021,"봉화",244.9
2021,"부산",105.7
2021,"순창",155.2
2021,"시흥",5.5
2021,"양양",40.4
2021,"양평",129.6
2021,"영동",167.1
2021,"울산",54
2021,"진천",175.3
2021,"하동",9.3
2021,"홍천",201.5
2021,"강진",31.7
2021,"과천",24.2
2021,"구례",67.1
2021,"구미",55
2021,"무안",5.4
2021,"부여",12.7
2021,"상주",111.9
2021,"영암",11.8
2021,"원주",137.8
2021,"의정",32
2021,"익산",9.4
2021,"임실",161.2
2021,"진도",4.3
2021,"춘천",134.2
2021,"통영",4.9
2021,"합천",88
2021,"화천",184
2021,"강릉",166
2021,"광양",33.5
2021,"김제",5.5
2021,"김포",11.6
2021,"남양",58.3
2021,"대전",152.4
2021,"목포",17.4
2021,"밀양",43.3
2021,"부안",6.2
2021,"산청",165.5
2021,"순천",91.7
2021,"안성",106.2
2021,"영광",22.8
2021,"예산",16.3
2021,"예천",74.3
2021,"이천",45.9
2021,"창녕",58.7
2021,"칠곡",67
2021,"파주",22
2021,"경산",65.2
2021,"무주",428
2021,"문경",159.6
2021,"성주",44.1
2021,"양산",190.3
2021,"양주",88.6
2021,"여수",41.7
2021,"여주",67.4
2021,"옥천",108.6
2021,"울진",53.2
2021,"창원",25
2021,"청도",113
2021,"충주",91.1
2021,"태백",660.4
2021,"포항",47.7
2021,"함안",25.3
2021,"경주",108.1
2021,"고창",19.7
2021,"군산",7.6
2021,"동두",55
2021,"서천",21.3
2021,"세종",19.3
2021,"영천",106.4
2021,"완주",53.5
2021,"음성",101.2
2021,"인제",282.6
2021,"장흥",19.5
2021,"철원",219.6
2021,"청송",209.4
2021,"함양",288.9
2021,"화성",29.8
2021,"가평",94.2
2021,"고령",20.6
2021,"고성",25.5
2021,"고흥",18.8
2021,"곡성",66.4
2021,"공주",64.5
2021,"광명",6.1
2021,"동해",5.6
2021,"보은",127.8
2021,"삼척",154.5
2021,"서산",16
2021,"성남",53.8
2021,"수원",22.4
2021,"안동",155
2021,"영덕",26.6
2021,"영양",244.3
2021,"영주",180.2
2021,"오산",48
2021,"완도",34.8
2021,"의령",52.2
2021,"정선",363.2
2021,"진주",29.3
2021,"포천",124.7
2021,"홍성",42.2
2022,"고창",27.9
2022,"고흥",25.1
2022,"군산",6.7
2022,"진도",4.7
2022,"진안",275.1
2022,"김해",14.9
2022,"나주",9.1
2022,"남양",59.1
2022,"남해",107.1
2022,"단양",317.4
2022,"문경",157.3
2022,"보성",80.9
2022,"봉화",246.9
2022,"순천",93.5
2022,"안산",44.9
2022,"양양",39.8
2022,"여수",56.5
2022,"영월",264.7
2022,"춘천",135.3
2022,"태백",667.5
2022,"평택",19.5
2022,"포항",50.9
2022,"횡성",314.3
2022,"강진",33.8
2022,"거창",255.2
2022,"경주",127.9
2022,"고성",26.1
2022,"익산",9.2
2022,"장수",389.4
2022,"제천",230.1
2022,"진천",178.1
2022,"창원",24.9
2022,"무안",5
2022,"보령",52.4
2022,"상주",132.4
2022,"서울",145.2
2022,"신안",12.1
2022,"영천",124
2022,"옥천",109.7
2022,"울산",64.5
2022,"파주",27.7
2022,"합천",88.9
2022,"홍천",205.9
2022,"계룡",135.5
2022,"구미",55.7
2022,"인제",276.8
2022,"전주",45.1
2022,"진주",30.3
2022,"창녕",59.6
2022,"당진",12
2022,"보은",140.6
2022,"사천",33.6
2022,"삼척",135.1
2022,"성남",53.6
2022,"속초",31.1
2022,"시흥",5.3
2022,"안양",42.4
2022,"양구",272.8
2022,"양산",192.9
2022,"양주",89.4
2022,"예천",84.7
2022,"음성",107.5
2022,"천안",58.4
2022,"청송",220.4
2022,"충주",96.2
2022,"태안",16
2022,"함안",25.9
2022,"화천",186
2022,"가평",92.2
2022,"광명",6
2022,"구례",71.3
2022,"이천",59.4
2022,"임실",168.2
2022,"정읍",23.2
2022,"김포",12.9
2022,"수원",22.9
2022,"안성",107.3
2022,"여주",68.2
2022,"영광",23.2
2022,"오산",47.1
2022,"완도",34.6
2022,"철원",222.4
2022,"하동",9.5
2022,"함양",372.9
2022,"거제",108.6
2022,"고양",31.7
2022,"곡성",67
2022,"공주",65.2
2022,"광양",54.5
2022,"괴산",134.6
2022,"정선",402
2022,"증평",93.2
2022,"동해",6.4
2022,"세종",19.5
2022,"아산",14.4
2022,"연천",41.4
2022,"영암",11.7
2022,"예산",18.3
2022,"청주",84.9
2022,"경산",65.5
2022,"과천",24.2
2022,"광주",45.7
2022,"김제",6
2022,"의왕",54.9
2022,"장흥",70.9
2022,"김천",191.8
2022,"남원",144.8
2022,"서천",21.4
2022,"영덕",31.1
2022,"영동",162.6
2022,"울진",54.1
2022,"청양",66.6
2022,"통영",7
2022,"포천",125.4
2022,"하남",74.2
2022,"해남",6.8
2022,"홍성",41.4
2022,"화순",107
2022,"강릉",171.4
2022,"군위",123
2022,"금산",163.9
2022,"의성",101.5
2022,"장성",102.5
2022,"논산",34.8
2022,"대전",155.2
2022,"동두",55.1
2022,"목포",18
2022,"부산",167.1
2022,"부안",6
2022,"부여",13.5
2022,"서산",25.1
2022,"성주",78.2
2022,"순창",152
2022,"영양",265.5
2022,"완주",57.1
2022,"원주",164.3
2022,"의령",50.8
2022,"칠곡",56.2
2022,"함평",34.2
2022,"고령",21.9
2022,"의정",33.4
2022,"인천",47.4
2022,"제주",73.2
2022,"담양",73.3
2022,"대구",112.4
2022,"무주",433.6
2022,"밀양",43.9
2022,"부천",45.5
2022,"산청",67
2022,"안동",136.4
2022,"양평",133.2
2022,"영주",186.2
2022,"용인",81.6
2022,"청도",114.2
2022,"평창",481.1
2022,"화성",28.4
2018,"고양",31.8
2018,"군포",41.5
2018,"남양",59.1
2018,"안성",82.8
2018,"양구",280.1
2018,"여주",58.7
2018,"연천",50.5
2018,"의정",33.6
2018,"춘천",141
2018,"평택",15
2018,"상주",131.3
2018,"의성",77.4
2018,"창녕",49.5
2018,"청도",56.8
2018,"통영",-0.3
2018,"포항",54.9
2018,"공주",35.4
2018,"논산",48
2018,"세종",19.9
2018,"아산",14
2018,"장수",284.6
2018,"순천",94.3
2018,"목포",17.9
2018,"가평",82.7
2018,"광주",44.8
2018,"시흥",5.4
2018,"원주",149.5
2018,"이천",46.1
2018,"포천",125.7
2018,"대구",67.2
2018,"청송",214.8
2018,"함양",347.5
2018,"김제",7.6
2018,"광양",21.8
2018,"영광",22.8
2018,"장성",74.6
2018,"동두",55.3
2018,"부천",9.6
2018,"수원",22.1
2018,"제천",217.3
2018,"태백",697.5
2018,"하남",74.1
2018,"홍천",239
2018,"횡성",278.1
2018,"남해",82.6
2018,"울산",70.4
2018,"울진",41.1
2018,"의령",26.1
2018,"진주",19.8
2018,"군산",7.7
2018,"부안",5.8
2018,"태안",16.8
2018,"강진",43.3
2018,"남원",138.6
2018,"하동",10.1
2018,"나주",8.4
2018,"영암",15.5
2018,"진도",5.7
2018,"함평",32.4
2018,"강릉",224.7
2018,"양양",0.4
2018,"의왕",55.6
2018,"청주",75.1
2018,"화천",194.1
2018,"거제",108.6
2018,"경주",109.3
2018,"안동",133.1
2018,"창원",10.9
2018,"칠곡",68
2018,"고창",21
2018,"금산",139.4
2018,"당진",10.2
2018,"대전",29.3
2018,"부여",10.2
2018,"임실",161.5
2018,"무안",6.6
2018,"광명",6.3
2018,"김포",11.5
2018,"속초",11.6
2018,"양평",62
2018,"파주",25.9
2018,"화성",24.6
2018,"거창",224.2
2018,"고령",20.5
2018,"김해",3.4
2018,"사천",23.7
2018,"함안",29.3
2018,"서천",9.5
2018,"익산",9.5
2018,"고흥",19.8
2018,"구례",28.5
2018,"담양",54.3
2018,"성남",54.5
2018,"안산",44.6
2018,"군위",122.8
2018,"문경",162.9
2018,"산청",168.4
2018,"영양",203.4
2018,"영주",192.4
2018,"영천",107.9
2018,"예천",74.6
2018,"영동",187.5
2018,"완주",42.4
2018,"전주",30.3
2018,"진안",272.2
2018,"청양",68.2
2018,"홍성",42.2
2018,"여수",28
2018,"고성",27.8
2018,"동해",6.8
2018,"삼척",134.5
2018,"오산",46.8
2018,"인제",258.5
2018,"인천",5.1
2018,"정선",368.8
2018,"천안",58.6
2018,"철원",152.3
2018,"평창",482
2018,"봉화",247
2018,"성주",44.3
2018,"영덕",23.7
2018,"보은",129.5
2018,"서산",16.2
2018,"예산",18.1
2018,"옥천",113.1
2018,"정읍",17.3
2018,"보성",61.4
2018,"완도",139.7
2018,"제주",72.6
2018,"괴산",134.7
2018,"단양",316.8
2018,"서울",8.8
2018,"안양",43
2018,"양주",89.7
2018,"영월",309.3
2018,"용인",47.8
2018,"음성",107.7
2018,"충주",79.9
2018,"경산",66.3
2018,"구미",44.6
2018,"김천",192.6
2018,"밀양",25
2018,"부산",50.6
2018,"양산",109.8
2018,"합천",50.2
2018,"계룡",135.5
2018,"무주",329.7
2018,"보령",60.3
2018,"증평",92.9
2018,"진천",57.5
2018,"곡성",74
2018,"순창",152.6
2018,"화순",104.9
2018,"장흥",20.4
2018,"해남",19
